序號,傳票,日期,科目,描述,借/貸,金額,
1,WF20220301001,2022/3/1 上午 12:00:00,6134,媒體投資娛樂費,1,512.00,
2,WF20220301001,2022/3/1 上午 12:00:00,6134,媒體投資娛樂費,2,512.00,
3,WF20220303001,2022/3/3 上午 12:00:00,6111,3月份業務支出,1,685.00,
4,WF20220303001,2022/3/3 上午 12:00:00,6123,3月份業務支出,1,34.00,
5,WF20220303001,2022/3/3 上午 12:00:00,1113,3月份業務支出,2,34.00,
6,WF20220303001,2022/3/3 上午 12:00:00,1261,3月份業務支出,2,685.00,
7,WF20220306001,2022/3/6 上午 12:00:00,6113,停車費用,1,114.00,
8,WF20220306001,2022/3/6 上午 12:00:00,6123,停車費用,1,6.00,
9,WF20220306001,2022/3/6 上午 12:00:00,1113,停車費用,2,120.00,
10,WF20220307001,2022/3/7 上午 12:00:00,6113,停車,1,57.00,
11,WF20220307001,2022/3/7 上午 12:00:00,6123,停車,1,3.00,
12,WF20220307001,2022/3/7 上午 12:00:00,1113,停車,2,60.00,
13,WF20220309001,2022/3/9 上午 12:00:00,6134,五金,1,24.00,
14,WF20220309001,2022/3/9 上午 12:00:00,6123,五金,1,1.00,
15,WF20220309001,2022/3/9 上午 12:00:00,1113,五金,2,25.00,
16,WF20220311001,2022/3/11 上午 12:00:00,6134,郵資,1,28.00,
17,WF20220311001,2022/3/11 上午 12:00:00,1113,郵資,2,28.00,
18,WF20220312001,2022/3/12 上午 12:00:00,6113,油資,1,359.00,
19,WF20220312001,2022/3/12 上午 12:00:00,6123,油資,1,18.00,
20,WF20220312001,2022/3/12 上午 12:00:00,1113,油資,2,377.00,
21,WF20220313001,2022/3/13 上午 12:00:00,6113,停車,1,38.00,
22,WF20220313001,2022/3/13 上午 12:00:00,6123,停車,1,2.00,
23,WF20220313001,2022/3/13 上午 12:00:00,1113,停車,2,40.00,
24,WF20220314001,2022/3/14 上午 12:00:00,6134,郵資,1,44.00,
25,WF20220314001,2022/3/14 上午 12:00:00,1113,郵資,2,88.00,
26,WF20220314002,2022/3/14 上午 12:00:00,6113,嘟嘟房停車,1,86.00,
27,WF20220314002,2022/3/14 上午 12:00:00,6123,嘟嘟房停車,1,4.00,
28,WF20220314002,2022/3/14 上午 12:00:00,1113,嘟嘟房停車,2,90.00,
29,WF20220314003,2022/3/14 上午 12:00:00,6113,油資,1,57.00,
30,WF20220314003,2022/3/14 上午 12:00:00,6123,油資,1,3.00,
31,WF20220314003,2022/3/14 上午 12:00:00,1113,油資,2,60.00,
32,WF20220314004,2022/3/14 上午 12:00:00,6134,郵資,1,28.00,
33,WF20220314004,2022/3/14 上午 12:00:00,1113,郵資,2,28.00,
34,WF20220316001,2022/3/16 上午 12:00:00,6113,嘟嘟房停車,1,86.00,
35,WF20220316001,2022/3/16 上午 12:00:00,6123,嘟嘟房停車,1,4.00,
36,WF20220316001,2022/3/16 上午 12:00:00,1113,嘟嘟房停車,2,90.00,
37,WF20220317001,2022/3/17 上午 12:00:00,6113,油資,1,65.00,
38,WF20220317001,2022/3/17 上午 12:00:00,6123,油資,1,3.00,
39,WF20220317001,2022/3/17 上午 12:00:00,1113,油資,2,68.00,
40,WF20220318001,2022/3/18 上午 12:00:00,6113,油資,1,136.00,
41,WF20220318001,2022/3/18 上午 12:00:00,6123,油資,1,7.00,
42,WF20220318001,2022/3/18 上午 12:00:00,1113,油資,2,143.00,
43,WF20220318002,2022/3/18 上午 12:00:00,6134,電話費,1,666.00,
44,WF20220318002,2022/3/18 上午 12:00:00,6123,電話費,1,33.00,
45,WF20220318002,2022/3/18 上午 12:00:00,1113,電話費,2,699.00,
46,WF20220318003,2022/3/18 上午 12:00:00,6134,相片沖洗，增資使用,1,143.00,
47,WF20220318003,2022/3/18 上午 12:00:00,6123,相片沖洗，增資使用,1,7.00,
48,WF20220318003,2022/3/18 上午 12:00:00,1113,相片沖洗，增資使用,2,150.00,
49,WF20220319001,2022/3/19 上午 12:00:00,6113,油資,1,631.00,
50,WF20220319001,2022/3/19 上午 12:00:00,6123,油資,1,32.00,
51,WF20220319001,2022/3/19 上午 12:00:00,1113,油資,2,663.00,
52,WF20220322001,2022/3/22 上午 12:00:00,6134,郵資,1,28.00,
53,WF20220322001,2022/3/22 上午 12:00:00,1113,郵資,2,28.00,
54,WF20220325001,2022/3/25 上午 12:00:00,6113,油資,1,19.00,
55,WF20220325001,2022/3/25 上午 12:00:00,1113,油資,2,20.00,
56,WF20220325003,2022/3/25 上午 12:00:00,6113,油資,1,151.00,
57,WF20220325003,2022/3/25 上午 12:00:00,6123,油資,1,8.00,
58,WF20220325003,2022/3/25 上午 12:00:00,1113,油資,2,159.00,
59,WF20220326001,2022/3/26 上午 12:00:00,6134,停車,1,40.00,
60,WF20220326001,2022/3/26 上午 12:00:00,1113,停車,2,40.00,
